TIPO,RGE,VARIABLE,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"D","BAS","Demanda Neta",1911,1829,1799,1762,1788,1732,1818,1948,2071,2135,2205,2173,2167,2182,2125,2072,2087,2097,2135,2315,2355,2295,2180,2061
"D","BAS","Perdidas",71,65,69,70,71,70,70,72,90,111,149,178,196,192,183,179,176,177,174,183,180,167,148,115
"G","BAS","Ren ley 26190",329,374,436,489,519,522,504,463,382,323,284,263,242,218,198,187,203,236,258,305,378,463,551,628
"G","BAS","Termica",937,777,692,694,693,698,704,862,897,1026,1036,1574,1674,1699,1697,1685,1687,1689,1491,1700,1704,1528,1509,943
"D","CEN","Demanda Neta",1318,1234,1184,1175,1181,1218,1233,1334,1443,1543,1623,1671,1726,1727,1752,1772,1778,1732,1698,1764,1802,1734,1651,1534
"D","CEN","Perdidas",11,10,9,9,9,10,9,11,15,17,21,24,27,29,31,31,32,32,31,26,23,23,23,14
"G","CEN","Nuclear",660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
"G","CEN","Ren Hidro >50MW",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"G","CEN","Ren ley 26190",104,115,126,135,144,152,157,205,238,236,225,211,209,197,193,194,216,233,230,202,225,255,277,270
"G","CEN","Termica",304,304,304,304,304,304,304,304,409,409,409,304,304,409,409,418,304,304,409,570,576,454,456,458
"D","COM","Demanda Neta",563,571,517,518,515,490,491,527,559,612,582,590,593,593,623,629,670,697,645,660,701,703,671,620
"D","COM","Perdidas",69,63,67,66,65,66,66,61,76,88,134,175,193,193,185,185,183,184,184,195,193,173,144,90
"G","COM","Ren Hidro >50MW",929,699,249,249,249,249,769,1349,1559,1559,2309,2309,2589,2589,2729,2729,2729,2729,2869,3149,3149,3149,2309,2309
"G","COM","Ren ley 26190",132,125,120,112,104,97,90,85,77,64,56,54,52,51,52,52,59,70,82,89,99,109,118,120
"G","COM","Termica",1510,1514,1513,1516,1517,1520,1523,1522,1515,1483,1472,1454,1445,1433,1423,1414,1424,1422,1420,1430,1443,1458,1479,1490
"G","CTMSG","Importacion",750,926,940,748,890,780,774,482,360,330,344,346,345,447,405,336,254,196,122,47,95,214,362,539
